track,artist,release,explicit,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,pitches,Timbre,CS,start,Y
Sooner Or Later,Aaron Carter,2018-02-16,0,spotify:track:0Gee5mDV8DiP4YNSQT2gOK,0.121,0.707,0.2,0.738,0.0,0.455,0.055,0.799,0.0,0.014,0.391,0.75,0.429,0.43,0.097,0.921,0.028,1.585
I Think Of You,Jeremih,2017-02-03,1,spotify:track:5f5KGCBUtnR3dTSdNfRcZG,0.009,0.69,0.205,0.504,0.0,0.0,0.116,0.745,1.0,0.05,0.318,0.75,0.344,0.379,0.082,0.897,0.028,1.022
First Day Out,Tee Grizzley,2017-04-07,1,spotify:track:3muBQDekYAg7jm6hDu6R0Z,0.172,0.526,0.246,0.718,0.0,0.091,0.11,0.812,1.0,0.421,0.306,0.75,0.372,0.484,0.091,0.921,0.029,1.212
Rolex,Ayo & Teo,2017-03-15,0,spotify:track:0pSBuHjILhNEo55xK1zrRt,0.084,0.787,0.228,0.898,0.0,0.091,0.26,0.922,1.0,0.018,0.591,0.75,0.8,0.371,0.118,0.946,0.029,1.519
Million Reasons,Lady Gaga,2016-10-21,0,spotify:track:7dZ1Odmx9jWIweQSatnRqo,0.497,0.621,0.192,0.422,0.0,0.0,0.09,0.764,1.0,0.021,0.499,0.75,0.134,0.403,0.078,0.867,0.03,1.474
Perfect Illusion,Lady Gaga,2016-10-21,0,spotify:track:56ZrTFkANjeAMiS14njg4E,0.001,0.557,0.166,0.868,0.0,0.091,0.357,0.836,0.0,0.015,0.47,0.75,0.669,0.649,0.043,0.845,0.031,1.616
Better Man,Little Big Town,2017-02-24,0,spotify:track:23TxRN09aR1RB0G0tFoT0b,0.113,0.438,0.255,0.846,0.0,0.455,0.07,0.889,1.0,0.016,0.584,0.75,0.498,0.406,0.067,0.97,0.032,1.099
Chained To The Rhythm,Katy Perry,2017-06-09,0,spotify:track:7qvxFz3JodM0A7xEM7k3YD,0.082,0.355,0.227,0.809,0.0,0.0,0.189,0.839,1.0,0.16,0.865,0.75,0.469,0.621,0.109,0.887,0.035,3.902
Outlet,Desiigner,2017-02-09,1,spotify:track:6E39QsoWB7JjphPF9xCQSN,0.118,0.601,0.261,0.81,0.0,0.727,0.346,0.932,1.0,0.049,0.464,0.75,0.346,0.433,0.161,0.98,0.035,1.4
Shape of You - Galantis Remix,Ed Sheeran,2017-02-10,0,spotify:track:5H7CwzYZ60e7w69tX4ivQN,0.052,0.828,0.182,0.774,0.0,0.091,0.009,0.928,0.0,0.025,0.318,0.75,0.921,0.347,0.135,0.826,0.035,1.26
T-Shirt (Spotify Mix) - Recorded at Spotify Studios NYC,Migos,2017-02-08,1,spotify:track:7yTGNfswQgcfZ0Y1LLI5aA,0.16,0.827,0.146,0.553,0.0,0.273,0.07,0.763,0.0,0.078,0.556,0.75,0.347,0.386,0.324,0.905,0.035,1.256
Same Drugs,Chance the Rapper,2016-05-27,0,spotify:track:6m9qPYXmhge2QhBLfFKnVF,0.954,0.373,0.249,0.287,0.0,0.545,0.077,0.72,1.0,0.035,0.806,0.75,0.529,0.314,0.1,0.826,0.035,1.65
Dab of Ranch - Recorded at Spotify Studios NYC,Migos,2017-02-08,1,spotify:track:3lNfezSWDZIdt6XMwyNCJi,0.001,0.951,0.172,0.55,0.0,0.182,0.095,0.788,1.0,0.125,0.524,0.75,0.039,0.308,0.213,0.894,0.036,1.12
Lights Down Low,MAX,2016-04-08,0,spotify:track:5A6BJLZArq1MPjsnmcuk5f,0.064,0.569,0.212,0.493,0.0,0.455,0.088,0.772,0.0,0.012,0.202,0.75,0.595,0.267,0.072,0.897,0.036,1.253
Instinct (feat. MadeinTYO),Roy Woods,2016-12-23,1,spotify:track:49VzL5oBsUICN7U34T98b9,0.479,0.676,0.158,0.461,0.0,0.909,0.092,0.789,0.0,0.034,0.221,0.75,0.281,0.401,0.213,0.839,0.036,1.018
"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Nick Jonas,2017-07-21,0,spotify:track:2TCCnYg9CHhXJPQ2rCm4Co,0.147,0.673,0.203,0.497,0.0,1.0,0.116,0.789,1.0,0.018,0.239,0.75,0.17,0.31,0.136,0.902,0.037,1.174
All We Got (feat. Kanye West & Chicago Children's Choir),Chance the Rapper,2016-05-27,0,spotify:track:3ZLyt2ndLFBh148XRYjYYZ,0.31,0.458,0.19,0.546,0.0,0.0,0.066,0.746,0.0,0.466,0.512,0.75,0.39,0.512,0.121,0.822,0.037,1.243
Angels (feat. Saba),Chance the Rapper,2016-05-27,1,spotify:track:0jx8zY5JQsS4YEQcfkoc5C,0.296,0.748,0.193,0.652,0.0,0.455,0.37,0.847,0.0,0.374,0.658,0.75,0.683,0.463,0.079,0.906,0.037,1.183
All Night (feat. Knox Fortune),Chance the Rapper,2016-05-27,1,spotify:track:60xaS8mYBKUW4VQQ666N0T,0.036,0.667,0.122,0.786,0.0,0.182,0.138,0.83,1.0,0.182,0.391,0.75,0.384,0.68,0.274,0.955,0.037,1.385
Smoke Break (feat. Future),Chance the Rapper,2016-05-27,1,spotify:track:1Uq3IOIy1CUlHUgP6vWpum,0.259,0.668,0.215,0.452,0.0,0.273,0.129,0.759,1.0,0.184,0.47,0.75,0.269,0.381,0.18,0.959,0.037,1.135
Blessings (feat. Jamila Woods),Chance the Rapper,2016-05-27,0,spotify:track:2VQc9orzwE6a5qFfy54P6e,0.728,0.679,0.21,0.339,0.0,0.909,0.086,0.774,1.0,0.379,0.149,0.75,0.363,0.536,0.269,0.868,0.037,1.187
